,investment title,surrounding sentence,ontology attribute,similar pair,RatcliffObershelp
0,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.631578947368421
1,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.631578947368421
2,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,in return,0.6363636363636364
3,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,to return,0.7272727272727273
4,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,case to return,0.6666666666666666
5,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,to return the,0.6153846153846154
6,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,factor affect return,to return,0.6206896551724138
7,Corporate Bonds,but if the company run into financial difficulty it still have a legal obligation to make timely payment of interest and principal,form financing,financial,0.6086956521739131
8,Corporate Bonds,but if the company run into financial difficulty it still have a legal obligation to make timely payment of interest and principal,form financing,into financial,0.6428571428571429
9,Corporate Bonds,but if the company run into financial difficulty it still have a legal obligation to make timely payment of interest and principal,time,timely,0.8
10,Corporate Bonds,like all investment bond carry risk,risk,risk,1.0
11,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk,1.0
12,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,key risk,0.6666666666666666
13,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk to,0.7272727272727273
14,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk to a,0.6153846153846154
15,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,time,timely,0.8
16,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,availability,ability,0.7368421052631579
17,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,availability,its ability,0.6956521739130435
18,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,availability,ability to,0.6363636363636364
19,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,availability,be its ability,0.6153846153846154
20,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,availability,its ability to,0.6153846153846154
21,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk,1.0
22,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk make,0.6153846153846154
23,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,time,time—an,0.7272727272727273
24,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,refinancing,0.8
25,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,financing,0.782608695652174
