,investment title,surrounding sentence,ontology attribute,similar pair,Sorensen
0,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.6666666666666666
1,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.6666666666666666
2,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,in return,0.5
3,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return the,0.5
4,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,to return,0.5
5,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return the,0.5
6,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,factor affect return,return,0.5
7,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,factor affect return,return,0.5
8,Corporate Bonds,like all investment bond carry risk,risk,risk,1.0
9,Corporate Bonds,like all investment bond carry risk,risk,carry risk,0.6666666666666666
10,Corporate Bonds,like all investment bond carry risk,risk,bond carry risk,0.5
11,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk,1.0
12,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,key risk,0.6666666666666666
13,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk to,0.6666666666666666
14,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,one key risk,0.5
15,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,key risk to,0.5
16,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk to a,0.5
17,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk,1.0
18,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,default risk,0.6666666666666666
19,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk make,0.6666666666666666
20,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,this default risk,0.5
21,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,default risk make,0.5
22,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk make the,0.5
23,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,financing,0.6666666666666666
24,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,and financing,0.5
25,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,financing merger,0.5
26,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,risk,1.0
27,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,additional risk,0.6666666666666666
28,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,entail additional risk,0.5
29,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk,1.0
30,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,the risk,0.6666666666666666
31,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk that,0.6666666666666666
32,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,of the risk,0.5
33,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,the risk that,0.5
34,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk that the,0.5
35,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,time,1.0
36,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,on time,0.6666666666666666
37,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,pay on time,0.5
38,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,risk,1.0
39,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,greater risk,0.6666666666666666
40,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,for greater risk,0.5
41,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk,1.0
42,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,rate risk,0.6666666666666666
43,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk msrb,0.6666666666666666
44,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,interest rate risk,0.5
45,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,rate risk msrb,0.5
46,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk msrb investor,0.5
47,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,return,0.6666666666666666
48,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,the return,0.5
49,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,expect return,return of,0.5
50,Municipal Bonds,by purchase municipal bond you be in effect lend money to the bond issuer in exchange for a promise of regular interest payment usually semi-annually and the return of the original investment or principal,factor affect return,return,0.5
51,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,risk,1.0
52,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,more risk,0.6666666666666666
53,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,risk averse,0.6666666666666666
54,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,be more risk,0.5
55,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,more risk averse,0.5
56,Municipal Bonds,bond investor typically seek a steady stream of income payment and compare to stock investor may be more risk averse and more focus on preserve rather than increase wealth,risk,risk averse and,0.5
57,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,factor affect return,factor,0.5
58,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,risk,1.0
59,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,and risk,0.6666666666666666
60,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,risk factor,0.6666666666666666
61,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,feature and risk,0.5
62,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,and risk factor,0.5
63,Municipal Bonds,disclosure document go back as early as 1990 include a bond 's official statement which be a disclosure document similar to a prospectus that include important characteristic such as type yield maturity credit quality call feature and risk factor as well as audit financial statement material event notice and other continue disclosure include rating change principal and interest payment delinquency and non-payment related default,risk,risk factor as,0.5
64,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,time,1.0
65,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,real time,0.6666666666666666
66,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,time transaction,0.6666666666666666
67,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,and real time,0.5
68,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,real time transaction,0.5
69,Municipal Bonds,1 historical and real time transaction price data include information relate to a type of municipal bond call a variable rate demand obligation that reset its interest rate periodically,time,time transaction price,0.5
70,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk,1.0
71,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,the risk,0.6666666666666666
72,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk of,0.6666666666666666
73,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,of the risk,0.5
74,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,the risk of,0.5
75,Municipal Bonds,2 what be some of the risk of invest in municipal bond,risk,risk of invest,0.5
76,Municipal Bonds,as with any investment invest in municipal bond entail risk,risk,risk,1.0
77,Municipal Bonds,as with any investment invest in municipal bond entail risk,risk,entail risk,0.6666666666666666
78,Municipal Bonds,as with any investment invest in municipal bond entail risk,risk,bond entail risk,0.5
79,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,risk,1.0
80,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,of risk,0.6666666666666666
81,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,risk specifically,0.6666666666666666
82,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,number of risk,0.5
83,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,of risk specifically,0.5
84,Municipal Bonds,investor in municipal bond face a number of risk specifically include,risk,risk specifically include,0.5
85,Municipal Bonds,call risk,risk,risk,1.0
86,Municipal Bonds,call risk,risk,call risk,0.6666666666666666
87,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,risk,1.0
88,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,call risk,0.6666666666666666
89,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,risk refer,0.6666666666666666
90,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,call risk refer,0.5
91,Municipal Bonds,call risk refer to the potential for a issuer to repay a bond before its maturity date something that a issuer may do if interest rate decline much as a homeowner might refinance a mortgage loan to benefit from lower interest rate,risk,risk refer to,0.5
92,Municipal Bonds,credit risk,risk,risk,1.0
93,Municipal Bonds,credit risk,risk,credit risk,0.6666666666666666
94,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk,1.0
95,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,the risk,0.6666666666666666
96,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk that,0.6666666666666666
97,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,be the risk,0.5
98,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,the risk that,0.5
99,Municipal Bonds,this be the risk that the bond issuer may experience financial problem that make it difficult or impossible to pay interest and principal in full the failure to pay interest or principal be refer to as default,risk,risk that the,0.5
100,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk,1.0
101,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,credit risk,0.6666666666666666
102,Municipal Bonds,credit rating seek to estimate the relative credit risk of a bond as compare with other bond although a high rating do not reflect a prediction that the bond have no chance of defaulting,risk,risk of,0.6666666666666666
