,investment title,surrounding sentence,ontology attribute,similar pair,cosine
0,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.5
1,Corporate Bonds,in return the company make a legal commitment to pay interest on the principal and in most case to return the principal when the bond come due or mature,expect return,return,0.5
2,Corporate Bonds,like all investment bond carry risk,risk,risk,1.0
3,Corporate Bonds,like all investment bond carry risk,risk,carry risk,0.5
4,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk,1.0
5,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,key risk,0.5
6,Corporate Bonds,one key risk to a bondholder be that the company may fail to make timely payment of interest or principal,risk,risk to,0.5
7,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk,1.0
8,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,default risk,0.5
9,Corporate Bonds,this default risk make the creditworthiness of the company—that be its ability to pay its debt obligation on time—an important concern to bondholder,risk,risk make,0.5
10,Corporate Bonds,company use the proceed from bond sale for a wide variety of purpose include buy new equipment invest in research and development buy back they own stock pay shareholder dividend refinancing debt and financing merger and acquisition,form financing,financing,0.5
11,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,risk,1.0
12,Corporate Bonds,longer term bond usually offer higher interest rate but may entail additional risk,risk,additional risk,0.5
13,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk,1.0
14,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,the risk,0.5
15,Corporate Bonds,credit rating agency assign credit rating base on they evaluation of the risk that the company may default on its bond,risk,risk that,0.5
16,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,time,1.0
17,Corporate Bonds,investment grade bond be consider more likely than non-investment grade bond to be pay on time,time,on time,0.5
18,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,risk,1.0
19,Corporate Bonds,non-investment grade bond which be also call high yield or speculative bond generally offer higher interest rate to compensate investor for greater risk,risk,greater risk,0.5
20,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk,1.0
21,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,rate risk,0.5
22,Corporate Bonds,what be high yield corporate bond investor bulletin interest rate risk msrb investor guide 2012,risk,risk msrb,0.5
