|2030|account|adr|alt|alt fund|alternative|alternative mutual|alternative mutual fund|annuity|ars|ars market|auction|bank|bond|bonus|broker|build|build index|buy|cd|certificate|certificate deposit|cftc|charge|claim|commodity|commodity future|company|contract|corporate|corporate bond|country|coupon|currency|custom|custom build|custom build index|date|date fund|death|death benefit|deposit|deposit broker|dividend|ee|environmental|equity|equity firm|equity fund|etf|etf etf|expense|factor|fee|fee expense|foreign|fund|fund invest leverage|future|futures|governance|hedge|hedge fund|high|high yield|high yield bond|index|index fund|insurance|international|international investing|invest leverage|invest leverage loan|investment|investor|issuer note|leverage|leverage loan|life|life insurance|life insurance policy|loan|market|market fund|market index|mix|money|money market|money market fund|msrb|municipal|municipal bond|mutual|mutual fund|non|non traded|non traded reit|non traditional index|note|notes|notes principal|notes principal protection|payment|plan|policy|policy fee|policy fee expense|portfolio company|premium|principal|principal protection|private|private equity|private equity firm|private equity fund|protection|publicly|publicly trade|publicly trade reit|purchase payment|rate|rate security|real estate|register|reit|retirement|retirement fund|risk|savings|savings bond|series|series ee|share|social|stock|stockholder|strategy|structure|structure notes|structure notes principal|structured|structured notes|structured notes principal|surrender|surrender charge|target|target date|target date fund|trade|trade future|trade reit|traded|traded reit|trading|traditional|traditional index|traditional index fund|variable|variable annuity|variable life|variable life insurance|yield|yield bond
Corporate Bonds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.014587125166642902|0.45491739850780044|0.0|0.0|0.0|0.0|0.03669039942679098|0.0|0.0|0.0|0.0|0.0|0.10877696439001959|0.0|0.0|0.21368660519247767|0.0|0.06837268922482036|0.0875227509998574|0.0|0.15650061301075985|0.0|0.0|0.0|0.0|0.010305807907749097|0.0|0.0|0.0|0.0|0.0|0.040791361646257344|0.0|0.0|0.024070018320782722|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012139106165597657|0.0|0.0|0.0|0.0|0.0|0.0|0.026988899514036577|0.027194241097504897|0.0|0.010305807907749097|0.0|0.0|0.0|0.0|0.0|0.0|0.03257995275926516|0.060695530827988294|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03271012087386144|0.0|0.0|0.0|0.014676159770716393|0.0|0.0|0.038280250712967|0.036105027481174085|0.01579879289336817|0.0|0.0|0.029500010447326915|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10816670497353202|0.0|0.0|0.0|0.0|0.0|0.0|0.08158272329251469|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1032464447075957|0.0|0.0|0.0|0.0|0.0|0.0|0.047562392453775276|0.0|0.0|0.0|0.0|0.01724333817810074|0.0|0.03448667635620148|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.021646682867332186|0.0
Municipal Bonds|0.0|0.0|0.0|0.0|0.0|0.015193108747472706|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.39811345045662266|0.0|0.051632894174700836|0.0|0.0|0.012843598914743185|0.0|0.0|0.0|0.0|0.025816447087350418|0.011899295554961423|0.0|0.0|0.0|0.0|0.009972538352961689|0.01276568175098114|0.0|0.0|0.0|0.0|0.0|0.0|0.0270568729137766|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019945076705923378|0.01390068022314741|0.0|0.0|0.005311669169938858|0.0|0.011166776463648902|0.0|0.0|0.0|0.0|0.007872963271137621|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019007871833802686|0.08498670671902173|0.0|0.0|0.0|0.0|0.0|0.0|0.011166776463648902|0.05152630000872826|0.0|0.0|0.0|0.012843598914743185|0.0|0.0|0.05583388231824451|0.34756390562684586|0.27652105513922315|0.0|0.0|0.025816447087350418|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.043027411812250706|0.010532239564449875|0.0|0.0|0.0|0.0|0.0|0.07139577332976853|0.0|0.01276568175098114|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.09730476156203186|0.0|0.0|0.01721096472490028|0.0|0.0|0.0|0.09513929710620618|0.0|0.0|0.0|0.0|0.0|0.0|0.007545111356470123|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.028415605675409572|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.011166776463648902|0.0|0.0|0.0|0.009471868558469857|0.0
Auction Rate Securities |0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5038731503130135|0.10797281792421717|0.28792751446457915|0.0|0.017147100607815262|0.0|0.020385518103735727|0.0|0.0|0.015212593970099763|0.0|0.03275252181215192|0.03275252181215192|0.0|0.020385518103735727|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.021364999248270993|0.0|0.0|0.0|0.03275252181215192|0.0|0.0|0.0|0.0|0.02494981120998359|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03774842250470217|0.0|0.0|0.0|0.0|0.0|0.0|0.018650254399931936|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022513863782479986|0.050331230006269566|0.0|0.0|0.0|0.0|0.0|0.0|0.02645296500210027|0.0678114432305133|0.0|0.0|0.0|0.015212593970099763|0.02818822870590406|0.0|0.02645296500210027|0.02494981120998359|0.0|0.015212593970099763|0.015212593970099763|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02645296500210027|0.0|0.0|0.0|0.14818188032185922|0.10797281792421717|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01787360634462225|0.0|0.0|0.0|0.0|0.02645296500210027|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022437899450870116|0.0
High-yield Corporate Bonds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.28874682472302743|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.06660496992668057|0.0|0.1326042722494438|0.16974454030092836|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03531448061567838|0.0|0.0|0.0|0.0|0.0|0.0|0.10468634244016282|0.15822425259242948|0.10101094913648292|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015796661556480435|0.08828620153919595|0.0|0.04243613507523209|0.0|0.0|0.0|0.0|0.0|0.0190317295817077|0.0|0.0|0.0|0.0|0.0|0.0|0.11136299109052437|0.07002329362743939|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02860665172797328|0.035011646813719696|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.06931370628228531|0.0|0.0|0.0|0.0|0.0|0.0|0.07906636209717713|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.12594689462039202|0.10101094913648292
Certificates of Deposit (CDs)|0.0|0.0544046588707225|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.13928501176595162|0.0|0.0|0.1564891892036285|0.0|0.0|0.011677929812481265|0.4981148210164884|0.1257121736292432|0.1257121736292432|0.0|0.0|0.021638660508044735|0.0|0.0|0.012145144702558947|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01640081646531893|0.0|0.0|0.0|0.35199408616188094|0.2490574105082442|0.0|0.0|0.0|0.019152693138166754|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.009659177332680964|0.0|0.0|0.0|0.0|0.0|0.0|0.014316845785498656|0.021638660508044735|0.0|0.0|0.0|0.021638660508044735|0.0|0.0|0.0|0.0|0.025924111454265125|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05838964906240633|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01564891892036285|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019152693138166754|0.0|0.0|0.0|0.0|0.03791721519861268|0.0|0.0|0.0|0.0|0.0|0.0|0.03243921470308426|0.04642833725531721|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02030658737318054|0.0|0.0|0.0|0.01722442703997672|0.0
Savings Bonds|0.0|0.035279986582968305|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.281682289774049|0.0|0.0|0.0|0.0|0.06815546574277084|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.12113037215248779|0.0|0.0|0.0|0.0|0.0|0.0|0.01675438007010589|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015953245462519337|0.0|0.0|0.0|0.0|0.0|0.0|0.00840555131919075|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015221866867879552|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012294157074390381|0.0|0.0|0.0|0.0|0.01975242961565239|0.0|0.0|0.3161292997527684|0.36339111645746336|0.22580664268054887|0.12113037215248779|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Bonds|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5212615783227633|0.0|0.0|0.0|0.0|0.04702919352465164|0.0|0.0|0.0|0.0|0.01050351743523845|0.014523817848254504|0.0|0.0|0.008151792451990282|0.0|0.06086046432503169|0.07790647589332769|0.0|0.0|0.0|0.0|0.0|0.0|0.011008189292326456|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01696663021733653|0.0|0.0|0.012966434044444789|0.0|0.0|0.0|0.0|0.0|0.0|0.028828299275663664|0.04357145354476351|0.01854411826127056|0.011008189292326456|0.0|0.0|0.0|0.0|0.0|0.0|0.034800404812452675|0.06483217022222396|0.0|0.0|0.0|0.014523817848254504|0.0|0.0|0.0|0.013975777758620805|0.0|0.0|0.0|0.02351459676232582|0.0|0.0|0.08177840102942364|0.10284193934789293|0.06750217132601069|0.0|0.0|0.031510552305715346|0.0|0.0|0.0|0.014523817848254504|0.01854411826127056|0.0|0.0|0.0420140697409538|0.0|0.0|0.0|0.0|0.0|0.0|0.07261908924127253|0.0|0.031162590357331075|0.0|0.0|0.0|0.0|0.013629733504903941|0.0|0.0|0.0|0.09331646619535092|0.0|0.0|0.01050351743523845|0.0|0.0|0.0|0.10886562162959579|0.0|0.0|0.0|0.0|0.0|0.0|0.009209269782401315|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03468298429694845|0.01854411826127056
Auction Rate Securities |0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5038731503130135|0.10797281792421717|0.28792751446457915|0.0|0.017147100607815262|0.0|0.020385518103735727|0.0|0.0|0.015212593970099763|0.0|0.03275252181215192|0.03275252181215192|0.0|0.020385518103735727|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.021364999248270993|0.0|0.0|0.0|0.03275252181215192|0.0|0.0|0.0|0.0|0.02494981120998359|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03774842250470217|0.0|0.0|0.0|0.0|0.0|0.0|0.018650254399931936|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022513863782479986|0.050331230006269566|0.0|0.0|0.0|0.0|0.0|0.0|0.02645296500210027|0.0678114432305133|0.0|0.0|0.0|0.015212593970099763|0.02818822870590406|0.0|0.02645296500210027|0.02494981120998359|0.0|0.015212593970099763|0.015212593970099763|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02645296500210027|0.0|0.0|0.0|0.14818188032185922|0.10797281792421717|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01787360634462225|0.0|0.0|0.0|0.0|0.02645296500210027|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.022437899450870116|0.0
Commodities|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.01673594208797475|0.0|0.0|0.0|0.13384897192111855|0.0|0.0|0.3603227098288943|0.17846529589482477|0.0|0.09303276563717502|0.0|0.0|0.0|0.0|0.036032270982889435|0.0|0.0|0.0|0.0470088652640668|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.07206454196577887|0.0|0.0|0.3201208290450525|0.13384897192111855|0.0|0.0|0.0|0.02051784055873347|0.031010921879058344|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.024768341361158817|0.01384281589742483|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.014920379641216647|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.044853737776483174|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0987390806653075|0.13384897192111855|0.0|0.0|0.0|0.1164075741982009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.024684770166326874|0.0
Variable Annuities|0.0|0.10183512790835197|0.0|0.0|0.0|0.0|0.0|0.0|0.5088764912797599|0.0|0.0|0.0|0.0|0.011826494709405892|0.13286354933372177|0.0|0.0|0.0|0.002623062438056221|0.0|0.0|0.0|0.0|0.10545043190528328|0.0|0.0|0.0|0.01909604816085949|0.17983526742300057|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05082678134796655|0.04517936119819249|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0038689004225144477|0.0|0.07737800845028896|0.008146810232668158|0.09084644239997561|0.07743639444412981|0.0|0.043392323212629626|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10692907792718954|0.0|0.0|0.0|0.0|0.06405297899229215|0.017356929285051847|0.0|0.0|0.0|0.014581237899162209|0.0|0.0|0.0|0.002338505187977153|0.0|0.0|0.0|0.03672287413278709|0.00486041263305407|0.0|0.0|0.0|0.0|0.018361437066393545|0.018361437066393545|0.0|0.0|0.0|0.0|0.00486041263305407|0.0|0.0|0.0|0.13708556147686823|0.017208087654251067|0.009122412523282507|0.0|0.0|0.0|0.0062058108692653645|0.0|0.0|0.0|0.0|0.0|0.0|0.004302021913562767|0.0|0.0|0.0|0.14893946086236876|0.01987265927499466|0.0|0.0|0.0|0.0|0.013683618784923761|0.0|0.014572803052259808|0.0|0.0|0.0052142986587257415|0.0|0.012327571623177824|0.0|0.012327571623177824|0.0|0.0|0.004561206261641254|0.0|0.0|0.0|0.0|0.0|0.11294840299548123|0.1016535626959331|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.27823358196011644|0.3785544630251872|0.0|0.0|0.0|0.0
