|alt|alt fund|annuity|ars|auction|bond|cd|commodity|deposit|equity|equity fund|etf|foreign|fund|future|hedge|hedge fund|index|index fund|insurance|international|leverage|leverage loan|loan|market fund|money market|money market fund|municipal|municipal bond|notes|policy|principal protection|private|private equity|private equity fund|reit|savings|savings bond|stock|target|target date|variable|variable annuity
Corporate Bonds|0.0|0.0|0.0|0.0|0.0|0.45491739850780044|0.0|0.0|0.0|0.024070018320782722|0.0|0.0|0.0|0.012139106165597657|0.0|0.0|0.0|0.010305807907749097|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.036105027481174085|0.01579879289336817|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03448667635620148|0.0|0.0|0.0|0.0
Municipal Bonds|0.0|0.0|0.0|0.0|0.0|0.39811345045662266|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.005311669169938858|0.011166776463648902|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.011166776463648902|0.0|0.0|0.0|0.34756390562684586|0.27652105513922315|0.0|0.0|0.0|0.01276568175098114|0.0|0.0|0.0|0.0|0.0|0.007545111356470123|0.0|0.0|0.011166776463648902|0.0
Auction Rate Securities |0.0|0.0|0.0|0.5038731503130135|0.28792751446457915|0.017147100607815262|0.0|0.0|0.03275252181215192|0.02494981120998359|0.0|0.0|0.0|0.03774842250470217|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02645296500210027|0.0|0.02818822870590406|0.0|0.02494981120998359|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
High-yield Corporate Bonds|0.0|0.0|0.0|0.0|0.0|0.28874682472302743|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03531448061567838|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04243613507523209|0.0|0.0|0.0|0.0|0.0|0.07002329362743939|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Certificates of Deposit (CDs)|0.0|0.0|0.0|0.0|0.0|0.0|0.4981148210164884|0.0|0.35199408616188094|0.019152693138166754|0.0|0.0|0.0|0.009659177332680964|0.0|0.0|0.0|0.0|0.0|0.021638660508044735|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.04642833725531721|0.0|0.0|0.0|0.0|0.02030658737318054|0.0
Savings Bonds|0.0|0.0|0.0|0.0|0.0|0.281682289774049|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.015953245462519337|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3161292997527684|0.36339111645746336|0.0|0.0|0.0|0.0|0.0
Bonds|0.0|0.0|0.0|0.0|0.0|0.5212615783227633|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012966434044444789|0.0|0.0|0.0|0.011008189292326456|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.10284193934789293|0.06750217132601069|0.01854411826127056|0.0|0.0|0.031162590357331075|0.0|0.0|0.0|0.0|0.0|0.009209269782401315|0.0|0.0|0.0|0.0
Auction Rate Securities |0.0|0.0|0.0|0.5038731503130135|0.28792751446457915|0.017147100607815262|0.0|0.0|0.03275252181215192|0.02494981120998359|0.0|0.0|0.0|0.03774842250470217|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.02645296500210027|0.0|0.02818822870590406|0.0|0.02494981120998359|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Commodities|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3603227098288943|0.0|0.0|0.0|0.0|0.07206454196577887|0.0|0.3201208290450525|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Variable Annuities|0.0|0.0|0.5088764912797599|0.0|0.0|0.011826494709405892|0.0|0.0|0.0|0.0|0.0|0.0038689004225144477|0.0|0.043392323212629626|0.0|0.0|0.0|0.0|0.0|0.10692907792718954|0.0|0.0|0.0|0.0|0.0|0.00486041263305407|0.0|0.0|0.0|0.0|0.009122412523282507|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.012327571623177824|0.0|0.0|0.27823358196011644|0.3785544630251872
